address,price,beds,baths,sqft,lot_hoa_walk,agent,url,image
"263-32 73rd Ave Unit E-1, Glen Oaks, NY 11004, 2 beds, 1 bath","$379,900",2 beds,1 bath,732 sq ft,,Listing by Miller & Miller Real Estate,https://www.redfin.com/NY/Glen-Oaks/26332-73rd-AVE-11004/unit-E-1/home/196263822,https://ssl.cdn-redfin.com/photo/269/islphoto/229/genIslnoResize.885229_0.jpg
"334 Underhill Ave, Bronx, NY 10473, 6 beds, 4 baths","$1,200,000",6 beds,4 baths,"2,300 sq ft",,Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/334-Underhill-Ave-10473/home/196197964,https://ssl.cdn-redfin.com/photo/269/islphoto/228/genIslnoResize.885228_0.jpg
"131-11 Fowler Ave Unit 3M, Flushing, NY 11355, 2 beds, 2 baths","$745,000",2 beds,2 baths,779 sq ft,,Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/13111-Fowler-Ave-11355/unit-3M/home/175801317,https://ssl.cdn-redfin.com/photo/269/islphoto/704/genIslnoResize.884704_0.jpg
"332 Underhill Ave, Bronx, NY 10473, 6 beds, 4 baths","$1,200,000",6 beds,4 baths,"2,300 sq ft",,Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/332-Underhill-Ave-10473/home/109532047,https://ssl.cdn-redfin.com/photo/269/islphoto/221/genIslnoResize.885221_0.jpg
"78 Stage Ln, Staten Island, NY 10304, 3 beds, 2.5 baths","$589,000",3 beds,2.5 baths,"1,725 sq ft",,Listing by Tiger Realty,https://www.redfin.com/NY/Staten-Island/78-Stage-Ln-10304/home/56034066,https://ssl.cdn-redfin.com/photo/187/islphoto/877/genIslnoResize.2503877_0.jpg
"9 Sperry Pl, Staten Island, NY 10312, 3 beds, 3.5 baths","$775,000",3 beds,3.5 baths,"2,025 sq ft",,Listing by RE/MAX Elite,https://www.redfin.com/NY/Staten-Island/9-Sperry-Pl-10312/home/56037390,https://ssl.cdn-redfin.com/photo/187/islphoto/876/genIslnoResize.2503876_0.jpg
"103-25 68th St Unit 6K, Forest Hills, NY 11375, 1 bed, 1 bath","$329,000",1 bed,1 bath,800 sq ft,,Listing by Metro Garden Realty Inc,https://www.redfin.com/NY/Forest-Hills/103-25-68th-Ave-11375/unit-6K/home/196263753,https://ssl.cdn-redfin.com/photo/269/islphoto/219/genIslnoResize.885219_0.jpg
"3903 7th Ave, Brooklyn, NY 11232, 5 beds, 3.5 baths","$1,990,000",5 beds,3.5 baths,"2,448 sq ft",,Listing by RE/MAX Edge,https://www.redfin.com/NY/Brooklyn/3903-7th-Ave-11232/home/196263671,https://ssl.cdn-redfin.com/photo/204/islphoto/863/genIslnoResize.493863_0.jpg
"152 Neptune Ave, Brooklyn, NY 11235, 4 beds, 3 baths","$798,000",4 beds,3 baths,"1,166 sq ft",,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Brooklyn/152-Neptune-Ave-11235/home/40906617,https://ssl.cdn-redfin.com/photo/204/islphoto/936/genIslnoResize.493936_0.jpg
"2067 E 37th St, Brooklyn, NY 11234, 3 beds, 2 baths","$986,000",3 beds,2 baths,"1,536 sq ft",,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Brooklyn/2067-E-37th-St-11234/home/40902878,https://ssl.cdn-redfin.com/photo/204/islphoto/938/genIslnoResize.493938_0.jpg
"60 Quentin Rd, Brooklyn, NY 11223, 6 beds, 5 baths","$2,388,000",6 beds,5 baths,"3,262 sq ft",,Listing by Jabour Realty Company,https://www.redfin.com/NY/Brooklyn/60-Quentin-Rd-11223/home/40839745,https://ssl.cdn-redfin.com/photo/204/islphoto/947/genIslnoResize.493947_0.jpg
"355 Kings Hwy Unit 5C, Brooklyn, NY 11223, 2 beds, 2 baths","$725,000",2 beds,2 baths,"1,135 sq ft",,Listing by Coldwell Banker Reliable R E,https://www.redfin.com/NY/Brooklyn/355-Kings-Hwy-11223/unit-5C/home/40646207,https://ssl.cdn-redfin.com/photo/269/islphoto/153/genIslnoResize.885153_0.jpg
"31 W 12th St Unit 5E, New York City, NY 10011, 3 beds, 2 baths","$4,300,000",3 beds,2 baths,— sq ft,,Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/31-W-12th-St-10011/unit-5E/home/110024110,https://ssl.cdn-redfin.com/photo/211/islphoto/539/genIslnoResize.RLS20032539_2.jpg
"133-23 161 St, Rochdale, NY 11434, 5 beds, 2.5 baths","$829,000",5 beds,2.5 baths,"1,575 sq ft",,Listing by Family Homes Realty Group,https://www.redfin.com/NY/Jamaica/13323-161st-St-11434/home/20712897,https://ssl.cdn-redfin.com/photo/269/islphoto/204/genIslnoResize.885204_0.jpg
"2137 33rd St Unit 3D, Astoria, NY 11105, 2 beds, 1 bath","$249,000",2 beds,1 bath,92 sq ft,,Listing by Keller Williams Rty Gold Coast,https://www.redfin.com/NY/Astoria/2137-33rd-St-11105/unit-3D/home/40275189,https://ssl.cdn-redfin.com/photo/269/islphoto/123/genIslnoResize.885123_0.jpg
"252-33 63rd Ave Uppr Level, Little Neck, NY 11362, 1 bed, 1 bath","$275,000",1 bed,1 bath,638 sq ft,,Listing by Exit Realty First Choice,https://www.redfin.com/NY/Little-Neck/252-33-63rd-Ave-11362/Lowr/home/189831103,https://ssl.cdn-redfin.com/photo/269/islphoto/173/genIslnoResize.885173_0.jpg
"140-21 31 Rd Unit 3F, Flushing, NY 11354, 2 beds, 1 bath","$379,000",2 beds,1 bath,"1,000 sq ft",,Listing by Trademarko Realty Inc,https://www.redfin.com/NY/Flushing/140-21-31st-Rd-11354/unit-3F/home/196263232,https://ssl.cdn-redfin.com/photo/269/islphoto/881/genIslnoResize.884881_0.jpg
"4216 Murdock Ave, Bronx, NY 10466, 3 beds, 2 baths","$630,000",3 beds,2 baths,"1,260 sq ft",,Listing by YourHomeSold Guaranteed Realty,https://www.redfin.com/NY/Bronx/4216-Murdock-Ave-10466/home/44787194,https://ssl.cdn-redfin.com/photo/269/islphoto/191/genIslnoResize.885191_0.jpg
"4320 Van Cortlandt Park East Unit 1E, Bronx, NY 10470, 1 bed, 1 bath","$190,000",1 bed,1 bath,950 sq ft,,Listing by ERA Insite Realty Services,https://www.redfin.com/NY/Bronx/4320-Van-Cortlandt-Park-E-10470/home/44718770,https://ssl.cdn-redfin.com/photo/269/islphoto/460/genIslnoResize.881460_0.jpg
"138 Rathbun Ave, Staten Island, NY 10312, 6 beds, 2 baths","$1,348,000",6 beds,2 baths,"2,700 sq ft",,Listing by DiTommaso Real Estate,https://www.redfin.com/NY/Staten-Island/138-Rathbun-Ave-10312/home/196263013,https://ssl.cdn-redfin.com/photo/187/islphoto/873/genIslnoResize.2503873_0.jpg
"167-05 145th Dr, Jamaica, NY 11434, 3 beds, 3 baths","$1,300,000",3 beds,3 baths,— sq ft,,Listing by Commerce Realty Group,https://www.redfin.com/NY/Jamaica/16705-145th-Dr-11434/home/196202081,https://ssl.cdn-redfin.com/photo/269/islphoto/174/genIslnoResize.885174_0.jpg
"9119 82nd St, Woodhaven, NY 11421, 3 beds, 2 baths","$749,000",3 beds,2 baths,"1,392 sq ft",,Listing by Keller Williams Landmark II,https://www.redfin.com/NY/Woodhaven/9119-82nd-St-11421/home/20787630,https://ssl.cdn-redfin.com/photo/269/islphoto/170/genIslnoResize.885170_0.jpg
"77-16 Austin St Unit 5L, Forest Hills, NY 11375, 1 bed, 1 bath","$318,000",1 bed,1 bath,700 sq ft,,Listing by Regent Realty,https://www.redfin.com/NY/Forest-Hills/7716-Austin-St-11375/unit-5L/home/20634339,https://ssl.cdn-redfin.com/photo/269/islphoto/159/genIslnoResize.885159_0.jpg
"108-15 72nd Ave Unit 4D, Forest Hills, NY 11375, 1 bed, 1 bath","$693,000",1 bed,1 bath,597 sq ft,,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Forest-Hills/108-15-72nd-Ave-11375/unit-4D/home/193929309,https://ssl.cdn-redfin.com/photo/269/islphoto/158/genIslnoResize.885158_0.jpg
"394 Stobe Ave, Staten Island, NY 10306, 3 beds, 2.5 baths","$759,000",3 beds,2.5 baths,"1,288 sq ft",,Listing by Momentum Real Estate LLC,https://www.redfin.com/NY/Staten-Island/394-Stobe-Ave-10306/home/56067828,https://ssl.cdn-redfin.com/photo/187/islphoto/872/genIslnoResize.2503872_0.jpg
"100 Norfolk St Unit 1A, New York City, NY 10002, 1 bed, 1.5 baths","$999,900",1 bed,1.5 baths,"37,656 sq ft",,Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/100-Norfolk-St-10002/unit-1A/home/167248812,https://ssl.cdn-redfin.com/photo/211/islphoto/694/genIslnoResize.RLS20034694_0.jpg
"5 E 22nd St Unit PHN, New York City, NY 10010, 3 beds, 3 baths","$5,400,000",3 beds,3 baths,"1,571 sq ft",,Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/5-E-22nd-St-10010/unit-PHN/home/115101565,https://ssl.cdn-redfin.com/photo/211/islphoto/695/genIslnoResize.RLS20034695_0.jpg
"120-12 85th Ave Unit 3A, Kew Gardens, NY 11415, 1 bed, 1 bath","$235,000",1 bed,1 bath,750 sq ft,,Listing by Keller Williams Realty Liberty,https://www.redfin.com/NY/Kew-Gardens/120-12-85th-Ave-11415/unit-3A/home/194870019,https://ssl.cdn-redfin.com/photo/269/islphoto/143/genIslnoResize.885143_0.jpg
"265 Bay 8th St, Brooklyn, NY 11228, 4 beds, 3 baths","$2,480,000",4 beds,3 baths,"2,688 sq ft",,Listing by Tiger Realty,https://www.redfin.com/NY/Brooklyn/265-Bay-8th-St-11228/home/40832710,https://ssl.cdn-redfin.com/photo/204/islphoto/930/genIslnoResize.493930_0.jpg
"52-40 39th Dr Unit 7-M, New York City, NY 11377, 1 bath","$279,000",0 beds,1 bath,500 sq ft,,Listing by Modern Spaces • Provided by REBNY,https://www.redfin.com/NY/Woodside/5240-39th-Dr-11377/unit-7-M/home/196262458,https://ssl.cdn-redfin.com/photo/211/islphoto/690/genIslnoResize.RLS20034690_0.jpg
"3809 48th Ave, Long Island City, NY 11101, 3 beds, 2 baths","$800,000",3 beds,2 baths,"2,356 sq ft",,Listing by Signature Premier Properties,https://www.redfin.com/NY/Long-Island-City/3809-48th-Ave-11101/home/20961249,https://ssl.cdn-redfin.com/photo/269/islphoto/873/genIslnoResize.867873_0.jpg
"95-20 108th St, Richmond Hill, NY 11419, 4 beds, 3 baths","$878,000",4 beds,3 baths,"1,571 sq ft","3,028 sq ft lot; 2 garage spots; Very walkable",Listing by RE/MAX Edge,https://www.redfin.com/NY/South-Richmond-Hill/9520-108th-St-11419/home/20776053,https://ssl.cdn-redfin.com/photo/269/islphoto/065/genIslnoResize.885065_0.jpg
"26 Terrace Cir Unit 9C, Great Neck, NY 11021, 2 beds, 1 bath","$550,000",2 beds,1 bath,750 sq ft,Community pool; Very walkable,Listing by Edify Real Estate,https://www.redfin.com/NY/Great-Neck/26-Terrace-Cir-11021/unit-9C/home/58804725,https://ssl.cdn-redfin.com/photo/269/islphoto/453/genIslnoResize.880453_0.jpg
"111-20 73rd Ave Unit 10A, New York City, NY 11375, 3 beds, 2 baths","$899,000",3 beds,2 baths,— sq ft,"$1,953 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/Forest-Hills/11120-73rd-Ave-11375/unit-10A/home/20633844,https://ssl.cdn-redfin.com/photo/211/islphoto/684/genIslnoResize.RLS20034684_0.jpg
"6535 108th St Unit B7, Forest Hills, NY 11375, 1 bed, 1 bath","$288,000",1 bed,1 bath,800 sq ft,Garage,Listing by Exit Realty First Choice,https://www.redfin.com/NY/Flushing/65-35-108th-St-11375/unit-B7/home/196262208,https://ssl.cdn-redfin.com/photo/269/islphoto/644/genIslnoResize.882644_0.jpg
"3021 Avenue Z Unit 2G, Brooklyn, NY 11229, 1 bed, 1 bath","$189,000",1 bed,1 bath,750 sq ft,Very walkable,Listing by Tracey Real Estate,https://www.redfin.com/NY/Brooklyn/3021-Avenue-Z-11235/unit-2G/home/196262161,https://ssl.cdn-redfin.com/photo/204/islphoto/933/genIslnoResize.493933_0.jpg
"330 E 38th St Unit 46-D, New York City, NY 10016, 2 beds, 2 baths","$2,450,000",2 beds,2 baths,"1,400 sq ft",,Listing by R New York • Provided by REBNY,https://www.redfin.com/NY/New-York/330-E-38th-St-10016/unit-46D/home/45257645,https://ssl.cdn-redfin.com/photo/211/islphoto/676/genIslnoResize.RLS20034676_2.jpg
"18409 140 Ave, Springfield Gardens, NY 11413, 5 beds, 2 baths","$950,000",5 beds,2 baths,— sq ft,,Listing by Skylight Real Estate Consultan,https://www.redfin.com/NY/Springfield-Gardens/18409-140th-Ave-11413/home/20690533,https://ssl.cdn-redfin.com/photo/269/islphoto/902/genIslnoResize.884902_0.jpg
"69-10 108th St Unit 1M, Forest Hills, NY 11375, 2 beds, 1 bath","$538,000",2 beds,1 bath,"1,011 sq ft",,Listing by EXP Realty,https://www.redfin.com/NY/Forest-Hills/6910-108th-St-11375/unit-1M/home/20638998,https://ssl.cdn-redfin.com/photo/269/islphoto/795/genIslnoResize.884795_1.jpg
"330 Taylor Ave, Bronx, NY 10473, 6 beds, 4 baths","$1,099,999",6 beds,4 baths,"2,050 sq ft",,Listing by Empire Home Sales Inc,https://www.redfin.com/NY/Bronx/330-Taylor-Ave-10473/home/44765478,https://ssl.cdn-redfin.com/photo/269/islphoto/090/genIslnoResize.885090_0.jpg
"30 Edgecombe Ave, New York (manhattan), NY 10030, 2 beds, 7 baths","$1,350,000",2 beds,7 baths,"3,850 sq ft",,Listing by Harlem Lofts Inc.,https://www.redfin.com/NY/New-York/30-Edgecombe-Ave-10030/home/45307395,https://ssl.cdn-redfin.com/photo/269/islphoto/087/genIslnoResize.885087_0.jpg
"225 W 60th St Unit 17B, New York City, NY 10023, 2 beds, 2 baths","$1,885,000",2 beds,2 baths,"1,227 sq ft",,Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/225-W-60th-St-10023/unit-17B/home/45191888,https://ssl.cdn-redfin.com/photo/211/islphoto/671/genIslnoResize.RLS20034671_0.jpg
"90-13 Francis Lewis Blvd, Queens Village, NY 11428, 3 beds, 2.5 baths","$749,000",3 beds,2.5 baths,"1,504 sq ft",,Listing by HomeSmart Homes & Estates,https://www.redfin.com/NY/Queens-Village/9013-Francis-Lewis-Blvd-11428/home/20749766,https://ssl.cdn-redfin.com/photo/269/islphoto/056/genIslnoResize.885056_0.jpg
"63 Brighton 2 Pl, Brooklyn, NY 11235, 1 bed, 0.5 baths","$498,000",1 bed,0.5 baths,834 sq ft,,"Listing by High Class Realty SB, LLC",https://www.redfin.com/NY/Brooklyn/63-Brighton-2nd-Pl-11235/home/52054063,https://ssl.cdn-redfin.com/photo/269/islphoto/948/genIslnoResize.884948_0.jpg
"43-44 168 St, Flushing, NY 11358, 4 beds, 2 baths","$1,050,000",4 beds,2 baths,"1,650 sq ft",,Listing by Maureen Folan R E Group LLC,https://www.redfin.com/NY/Flushing/4344-168th-St-11358/home/20848736,https://ssl.cdn-redfin.com/photo/269/islphoto/640/genIslnoResize.884640_0.jpg
"87-10 149th Ave Unit 5D, Howard Beach, NY 11414, 2 beds, 2 baths","$450,000",2 beds,2 baths,— sq ft,,Listing by Century 21 Amiable Rlty Grp II,https://www.redfin.com/NY/Howard-Beach/8710-149th-Ave-11414/unit-5D/home/20729108,https://ssl.cdn-redfin.com/photo/269/islphoto/053/genIslnoResize.885053_0.jpg
"106-20 70th Ave Unit 5C, New York City, NY 11375, 1 bed, 1 bath","$790,000",1 bed,1 bath,791 sq ft,,Listing by Industrie Residential • Provided by REBNY,https://www.redfin.com/NY/Forest-Hills/10620-70th-Ave-11375/unit-5C/home/109707354,https://ssl.cdn-redfin.com/photo/211/islphoto/664/genIslnoResize.RLS20034664_1.jpg
"106-20 70th Ave Unit 5B, New York City, NY 11375, 1 bath","$525,000",0 beds,1 bath,498 sq ft,,Listing by Industrie Residential • Provided by REBNY,https://www.redfin.com/NY/Forest-Hills/10620-70th-Ave-11375/unit-5B/home/109706923,https://ssl.cdn-redfin.com/photo/211/islphoto/665/genIslnoResize.RLS20034665_1.jpg
"480 Kent Ave Unit 16F, Brooklyn, NY 11249, 1 bed, 1 bath","$1,235,000",1 bed,1 bath,628 sq ft,,Listing by Serhant • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/480-Kent-Ave-11249/unit-16F/home/196261834,https://ssl.cdn-redfin.com/photo/211/islphoto/663/genIslnoResize.RLS20034663_0.jpg
"210 E 63rd St Unit 2-B, New York City, NY 10065, 1 bath","$379,000",0 beds,1 bath,400 sq ft,,Listing by William Raveis New York City LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/210-E-63rd-St-10065/unit-2-B/home/177510284,https://ssl.cdn-redfin.com/photo/211/islphoto/662/genIslnoResize.RLS20034662_1.jpg
"100 Vandam St Unit 20-A, New York City, NY 10013, 6 beds, 6.5 baths","$35,000,000",6 beds,6.5 baths,"6,569 sq ft",,Listing by Nest Seekers LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/100-Vandam-St-10013/unit-20A/home/178763464,https://ssl.cdn-redfin.com/photo/211/islphoto/661/genIslnoResize.RLS20034661_2.jpg
"3604 Willett Ave, Bronx, NY 10467, 7 beds, 3 baths","$1,199,000",7 beds,3 baths,"3,060 sq ft",,Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/3604-Willett-Ave-10467/home/44794917,https://ssl.cdn-redfin.com/photo/269/islphoto/627/genIslnoResize.884627_0.jpg
"420 E 55th St Unit 3FG, New York City, NY 10022, 3 beds, 2.5 baths","$2,100,000",3 beds,2.5 baths,— sq ft,,Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/420-E-55th-St-10022/unit-3FG/home/196261763,https://ssl.cdn-redfin.com/photo/211/islphoto/660/genIslnoResize.RLS20034660_3.jpg
"3620 Paulding Ave, Bronx, NY 10469, 12 beds, 5 baths","$1,250,000",12 beds,5 baths,"3,049 sq ft",,Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/3620-Paulding-Ave-10469/home/44789222,https://ssl.cdn-redfin.com/photo/269/islphoto/645/genIslnoResize.884645_0.jpg
"2154 Royce St, Brooklyn, NY 11234, 4 beds, 3 baths","$1,149,000",4 beds,3 baths,"2,200 sq ft",,Listing by Bergen Basin Realty LLC,https://www.redfin.com/NY/Brooklyn/2154-Royce-St-11234/home/40899975,https://ssl.cdn-redfin.com/photo/204/islphoto/926/genIslnoResize.493926_3.jpg
"212 E 47th St Unit 6G, New York City, NY 10017, 2 beds, 2 baths","$1,495,000",2 beds,2 baths,911 sq ft,,Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/212-E-47th-St-10017/unit-6G/home/196261725,https://ssl.cdn-redfin.com/photo/211/islphoto/657/genIslnoResize.RLS20034657_0.jpg
"1728 Flatbush Ave, Brooklyn, NY 11210, 7 beds, 2 baths","$1,025,000",7 beds,2 baths,"3,360 sq ft",,Listing by RE/MAX Edge,https://www.redfin.com/NY/Brooklyn/1728-Flatbush-Ave-11210/home/196261636,https://ssl.cdn-redfin.com/photo/204/islphoto/667/genIslnoResize.493667_0.jpg
"140 W 69th St Unit 91B, New York City, NY 10023, 1 bath","$299,000",0 beds,1 bath,250 sq ft,,Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/140-W-69th-St-10023/unit-91B/home/196261470,https://ssl.cdn-redfin.com/photo/211/islphoto/652/genIslnoResize.RLS20034652_4.jpg
"16 Doe Pl, Staten Island, NY 10310, 5 beds, 3 baths","$549,000",5 beds,3 baths,"1,532 sq ft",,Listing by Howard Hanna Rand Realty,https://www.redfin.com/NY/Staten-Island/16-Doe-Pl-10310/home/56110620,https://ssl.cdn-redfin.com/photo/269/islphoto/162/genIslnoResize.884162_0.jpg
"125 W 21st St Unit 4C, New York City, NY 10011, 1 bath","$975,000",0 beds,1 bath,605 sq ft,,Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/125-W-21st-St-10011/unit-4C/home/45205343,https://ssl.cdn-redfin.com/photo/211/islphoto/651/genIslnoResize.RLS20034651_2.jpg
"610 Woodrow Rd, Staten Island, NY 10312, 4 beds, 2.5 baths","$1,080,000",4 beds,2.5 baths,"2,640 sq ft",,Listing by R. Della Realty Corp.,https://www.redfin.com/NY/Staten-Island/610-Woodrow-Rd-10312/home/56036837,https://ssl.cdn-redfin.com/photo/187/islphoto/866/genIslnoResize.2503866_0.jpg
"129 W 70th St Unit GARDEN, New York City, NY 10023, 4 beds, 3 baths","$3,250,000",4 beds,3 baths,"2,926 sq ft",,Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/129-W-70th-St-10023/home/45269192,https://ssl.cdn-redfin.com/photo/211/islphoto/642/genIslnoResize.RLS20034642_0.jpg
"7-11 123, College Point, NY 11356, 3 beds, 3 baths","$1,098,000",3 beds,3 baths,"1,630 sq ft",,Listing by Royalux Realty LLC,https://www.redfin.com/NY/College-Point/711-123rd-St-11356/home/20876124,https://ssl.cdn-redfin.com/photo/269/islphoto/615/genIslnoResize.884615_0.jpg
"170 W End Ave Unit 1P, New York City, NY 10023, 2 beds, 2 baths","$1,340,000",2 beds,2 baths,"1,256 sq ft",,Listing by The Agency Brokerage • Provided by REBNY,https://www.redfin.com/NY/New-York/170-W-End-Ave-10023/unit-1P/home/196261300,https://ssl.cdn-redfin.com/photo/211/islphoto/639/genIslnoResize.RLS20034639_1.jpg
"4026 Wickham Ave, Bronx, NY 10466, 4 beds, 2 baths","$749,900",4 beds,2 baths,"1,920 sq ft",,Listing by YourHomeSold Guaranteed Realty,https://www.redfin.com/NY/Bronx/4026-Wickham-Ave-10466/home/44738314,https://ssl.cdn-redfin.com/photo/269/islphoto/009/genIslnoResize.885009_0.jpg
"200-22 39th Ave, Bayside, NY 11361, 3 beds, 1.5 baths","$928,000",3 beds,1.5 baths,"1,196 sq ft",,Listing by Coldwell Banker American Homes,https://www.redfin.com/NY/Bayside/20022-39th-Ave-11361/home/20835698,https://ssl.cdn-redfin.com/photo/269/islphoto/264/genIslnoResize.884264_0.jpg
"46 Bay 37th St, Brooklyn, NY 11214, 9 beds, 4.5 baths","$2,199,000",9 beds,4.5 baths,"3,960 sq ft",,Listing by E-House Realty of Avenue U Inc,https://www.redfin.com/NY/Brooklyn/46-Bay-37th-St-11214/home/40848149,https://ssl.cdn-redfin.com/photo/187/islphoto/865/genIslnoResize.2503865_0.jpg
"108-49 63rd Ave Unit LC, Forest Hills, NY 11375, 1 bath","$199,000",0 beds,1 bath,600 sq ft,,Listing by Keller Williams Points North,https://www.redfin.com/NY/Flushing/108-49-63rd-Ave-11375/unit-LC/home/196259317,https://ssl.cdn-redfin.com/photo/269/islphoto/589/genIslnoResize.884589_0.jpg
"2400 E 3rd St #515, Brooklyn, NY 11223, 2 beds, 1 bath","$365,000",2 beds,1 bath,925 sq ft,,Listing by New World Realty Group LLC,https://www.redfin.com/NY/Brooklyn/2400-E-3rd-St-11223/unit-515/home/196258580,https://ssl.cdn-redfin.com/photo/204/islphoto/923/genIslnoResize.493923_1.jpg
"3344 Junction Blvd Unit 2X, Jackson Heights, NY 11372, 1 bed, 1 bath","$258,600",1 bed,1 bath,690 sq ft,,Listing by Century Homes Realty Group LLC,https://www.redfin.com/NY/Jackson-Heights/3344-Junction-Blvd-11372/unit-2X/home/146037225,https://ssl.cdn-redfin.com/photo/269/islphoto/376/genIslnoResize.880376_2.jpg
"66-48 73rd Pl, Middle Village, NY 11379, 3 beds, 1.5 baths","$919,000",3 beds,1.5 baths,"1,116 sq ft",,Listing by Coldwell Banker Phillips,https://www.redfin.com/NY/Middle-Village/6648-73rd-Pl-11379/home/20894194,https://ssl.cdn-redfin.com/photo/269/islphoto/067/genIslnoResize.881067_0.jpg
